측정소,측정일시,미세먼지(PM10),초미세먼지(PM2.5),오존(O3),이산화질소(NO2),일산화탄소(CO),아황산가스(SO2),PM10등급,PM25등급
중구,2026-03-20 16:00,47,25,0.054,0.018,0.3,0.003,2,2
한강대로,2026-03-20 16:00,60,27,0.051,0.021,0.4,0.003,2,2
종로구,2026-03-20 16:00,45,25,0.051,0.018,0.4,0.003,2,2
청계천로,2026-03-20 16:00,50,23,0.046,0.022,0.5,0.003,2,2
종로,2026-03-20 16:00,43,13,0.049,0.021,0.4,0.003,2,2
용산구,2026-03-20 16:00,-,-,0.055,0.016,0.4,0.003,,
광진구,2026-03-20 16:00,50,29,0.047,0.016,0.4,0.004,2,2
성동구,2026-03-20 16:00,51,23,0.054,0.024,0.3,0.003,2,2
강변북로,2026-03-20 16:00,60,26,0.045,0.031,0.4,0.003,2,2
중랑구,2026-03-20 16:00,45,30,0.051,0.017,0.4,0.003,2,2
동대문구,2026-03-20 16:00,45,24,0.050,0.016,0.3,0.003,2,2
홍릉로,2026-03-20 16:00,61,30,0.044,0.024,0.5,0.003,2,2
성북구,2026-03-20 16:00,55,27,0.045,0.015,0.4,0.003,2,2
정릉로,2026-03-20 16:00,48,22,0.047,0.029,0.4,0.002,2,2
도봉구,2026-03-20 16:00,49,26,-,-,-,-,,
은평구,2026-03-20 16:00,51,27,0.057,0.013,0.5,0.003,,2
서대문구,2026-03-20 16:00,45,24,0.061,0.014,0.4,0.003,2,2
마포구,2026-03-20 16:00,44,25,0.057,0.017,0.3,0.003,2,2
신촌로,2026-03-20 16:00,53,21,0.041,0.034,0.6,0.003,2,2
강서구,2026-03-20 16:00,50,25,0.051,0.019,0.3,0.003,2,2
공항대로,2026-03-20 16:00,49,18,0.054,0.015,0.3,0.003,2,2
구로구,2026-03-20 16:00,51,22,0.059,0.014,0.3,0.003,2,2
영등포구,2026-03-20 16:00,39,18,0.056,0.016,0.4,0.003,2,2
영등포로,2026-03-20 16:00,46,24,0.044,0.029,0.5,0.003,2,2
동작구,2026-03-20 16:00,39,19,0.062,0.013,0.3,0.003,2,2
동작대로 중앙차로,2026-03-20 16:00,50,25,0.047,0.028,0.4,0.003,2,2
관악구,2026-03-20 16:00,46,21,0.058,0.014,0.3,0.002,2,1
강남구,2026-03-20 16:00,25,19,0.056,0.016,0.4,0.003,,
서초구,2026-03-20 16:00,93,28,0.048,0.021,0.3,0.003,2,2
도산대로,2026-03-20 16:00,52,23,0.056,0.016,0.4,0.003,2,2
강남대로,2026-03-20 16:00,-,-,-,-,-,-,2,2
송파구,2026-03-20 16:00,49,26,0.054,0.017,0.3,0.002,2,2
강동구,2026-03-20 16:00,56,29,0.058,0.016,0.4,0.003,2,2
천호대로,2026-03-20 16:00,48,25,0.050,0.020,0.4,0.003,2,2
금천구,2026-03-20 16:00,54,33,0.061,0.015,0.4,0.004,2,2
시흥대로,2026-03-20 16:00,48,21,0.054,0.017,0.3,0.003,2,2
강북구,2026-03-20 16:00,48,29,0.058,0.012,0.3,0.002,2,2
양천구,2026-03-20 16:00,43,23,0.057,0.016,0.3,0.003,2,2
노원구,2026-03-20 16:00,48,27,0.059,0.013,0.3,0.003,2,2
화랑로,2026-03-20 16:00,54,26,0.044,0.033,0.4,0.003,2,2
